PERM,BVO,PORO
93.0589,0.1751541,0.19977315
87.8812,0.1639877,0.18897039
93.2291,0.1459813,0.17012722
89.1494,0.12268,0.14402223
8.3775,0.1163312,0.13770328
0.0279,0.0586622,0.0735119
0.0989,0.058653,0.07760454
0.0952,0.0663012,0.08908257
0.0964,0.0648957,0.08944017
0.1325,0.0600929,0.0843861
0.097,0.0662207,0.09028058
0.0734,0.0711525,0.09271861
0.0426,0.070142,0.09162172
0.8668,0.0518471,0.06529192
0.1557,0.0420873,0.05576305
0.2325,0.0333578,0.04277431
0.2318,0.0322312,0.04314257
0.1339,0.0300143,0.0355724
0.1566,0.0427514,0.05436774
0.874,0.0521651,0.06580038
0.0322,0.072002,0.09136209
0.0297,0.0812404,0.10275846
0.0039,0.0836249,0.10531247
0.0051,0.0828411,0.1048544
0.0395,0.0805875,0.10422098
0.0659,0.0777539,0.09994605
0.0392,0.0713792,0.09279387
18.9559,0.1150236,0.13691087
66.7031,0.1190536,0.14064484
0.4668,0.1013284,0.12310293
0.0405,0.0793863,0.0989278
0.0838,0.0629352,0.07963062
0.7992,0.0546538,0.06829968
0.0742,0.0621057,0.0779179
0.1007,0.0623562,0.0811262
0.1865,0.0743682,0.0955107
10.6235,0.110242,0.13389608
10.9929,0.1118216,0.1335735
0.9851,0.1047538,0.12523051
0.004,0.0855244,0.10065451
0.6311,0.0631808,0.06625206
0.0242,0.0705871,0.07045567
0.0248,0.0755814,0.07212819
0.5459,0.0675553,0.07115485
0.024,0.0612198,0.07451561
0.0312,0.058389,0.07640102
0.1012,0.0614731,0.08485213
0.0375,0.0585883,0.08141736
0.0984,0.0581457,0.08499309
0.9358,0.0464299,0.0691233
0.1629,0.0364873,0.0579213
0.8483,0.0416563,0.07078284
1.3225,0.0439001,0.07565307
0.0645,0.0459291,0.08232666
0.4287,0.0393625,0.07198171
0.67,0.040326,0.07344588
0.0994,0.0377213,0.06753948
0.1256,0.0361103,0.0655695
0.152,0.0337481,0.06033516
0.132,0.0357333,0.06122639
0.1445,0.0353753,0.06018408
0.0895,0.0378723,0.06353051
0.1433,0.0361331,0.05931742
0.1341,0.0384235,0.06163869
1.0415,0.0462908,0.06869264
0.0368,0.0567374,0.07785044
0.8228,0.0537229,0.06759082
0.647,0.0584853,0.0729174
0.666,0.0582647,0.07212612
0.0332,0.0713207,0.09122871
0.0213,0.0756553,0.09467883
0.2291,0.0941475,0.11900912
0.0645,0.0778436,0.09943659
0.047,0.0658117,0.08383095
0.0683,0.0648149,0.08500708
0.0334,0.0563936,0.07704177
0.8467,0.0526183,0.07365029
0.8348,0.0529571,0.07370506
0.75,0.0540903,0.07551721
0.1014,0.0601695,0.08071531
0.0942,0.0661307,0.08829751
0.1751,0.0718106,0.09385492
0.172,0.0705225,0.09182623
0.0708,0.0738934,0.09303066
0.6598,0.0579344,0.07208747
0.1543,0.0458633,0.05643978
0.2319,0.0412799,0.05052419
0.7953,0.0547464,0.06823839
0.0457,0.0666778,0.08287826
0.0312,0.082477,0.10349642
0.027,0.0730649,0.09260793
0.0251,0.0603965,0.07518864
0.0416,0.0655553,0.082238
0.0204,0.0747385,0.09329012
0.1799,0.072664,0.09672202
0.1154,0.0598054,0.08524154
0.0788,0.0552997,0.08413731
0.0627,0.051233,0.07897977
0.0625,0.051273,0.07953881
0.8216,0.0419343,0.06645459
0.7685,0.0407957,0.06738238
0.1002,0.0391913,0.0664435
0.1118,0.0447331,0.07836802
0.0444,0.0379694,0.07134774
0.1897,0.0301614,0.06066836
0.1194,0.0329432,0.06468178
0.1941,0.029873,0.06098946
0.2283,0.0279633,0.06016214
0.1126,0.021415,0.04632031
0.2627,0.0275575,0.05198847
0.1,0.0389707,0.06630003
0.1368,0.0373552,0.06082681
0.2413,0.0294485,0.04842165
0.1233,0.0237191,0.03905682
0.117,0.0218692,0.04103134
0.1104,0.0205215,0.04092184
0.104,0.0192648,0.04092184
0.1412,0.0235754,0.04699602
0.104,0.0363435,0.06483529
0.1385,0.0386389,0.062271
0.2411,0.036764,0.05253812
0.1369,0.0324922,0.03818434
0.1591,0.0462553,0.05402668
0.7287,0.0565002,0.05731879
0.0947,0.0606049,0.05235156
0.0957,0.0634284,0.0461731
0.0936,0.0670087,0.04610657
0.639,0.0757623,0.06118928
0.6875,0.0667139,0.05690135
0.6833,0.0621681,0.06245295
0.0521,0.0652057,0.07497418
0.0417,0.0661113,0.0834947
0.052,0.0718156,0.09344818
0.0379,0.0814911,0.10762593
0.2137,0.0970628,0.12654666
4.9644,0.1117792,0.14377213
5.3587,0.1141313,0.14627354
0.7017,0.1012727,0.13257043
0.0699,0.0765242,0.10233673
0.1956,0.0776429,0.10379769
0.9617,0.0900938,0.11760304
1.0477,0.0903201,0.11607457
1.0559,0.0894469,0.1147091
0.2417,0.0744218,0.09961766
0.069,0.0654277,0.0904548
1.619,0.0448529,0.07008386
0.0545,0.0326633,0.05914521
0.0949,0.021442,0.04672269
0.2704,0.0294025,0.05349545
1.2353,0.0459281,0.07234299
0.0775,0.0612661,0.09289648
0.0891,0.0607237,0.09183293
0.104,0.0578495,0.09238444
0.0828,0.055757,0.09064106
0.0894,0.0605757,0.09387925
0.0877,0.0627028,0.09554111
0.3371,0.0681479,0.10290201
0.2847,0.0722358,0.10598487
0.1399,0.0646353,0.0969752
0.0707,0.0518971,0.08098593
0.8822,0.042028,0.07024419
0.0965,0.041546,0.06772056
0.9875,0.0454216,0.07145272
0.9343,0.0450143,0.06988552
0.1279,0.0372506,0.0635132
0.279,0.0289748,0.05700761
0.0395,0.0342769,0.06749517
0.2415,0.0283174,0.06063284
0.2069,0.0233815,0.05654522
0.123,0.0189566,0.05392696
0.2097,0.0226056,0.05628016
0.2729,0.0280541,0.05773771
0.0965,0.04774,0.08036818
0.17,0.0528642,0.08759843
0.1026,0.0589455,0.09298403
0.6133,0.0401924,0.06972858
0.2613,0.0268332,0.05030039
0.1103,0.0193441,0.05102677
0.24,0.0294828,0.06106035
0.072,0.0444065,0.07942458
0.6914,0.0405439,0.07297441
0.0533,0.0329361,0.06445595
0.0692,0.0190325,0.04845626
0.268,0.0285718,0.05164912
0.6693,0.0396709,0.06682489
0.1008,0.0387248,0.06473588
0.2588,0.0313114,0.05244344
0.1412,0.0261466,0.04329138
0.1465,0.0277573,0.04369377
0.1154,0.0203633,0.03313996
0.3522,0.0638302,0.09605805
0.3521,0.0623887,0.09657486
0.0661,0.0550289,0.09033829
0.11,0.0212877,0.04675454
0.2903,0.0285516,0.05778356
0.1143,0.0349178,0.06488437
0.1457,0.0347987,0.05930552
0.1575,0.0361075,0.05760486
0.2572,0.0317343,0.05244178
0.1292,0.0372629,0.06134981
0.0992,0.0380857,0.06419526
0.2613,0.0290304,0.05133081
0.1124,0.0210312,0.04228311
0.2251,0.0263769,0.04569557
0.2438,0.0308878,0.04742374
0.244,0.0308948,0.04716357
0.1201,0.0228402,0.03569183
0.2257,0.0273345,0.04353605
0.1325,0.0261619,0.03869367
0.1186,0.0219486,0.03201814
0.0865,0.019594,0.04650759
0.0933,0.021351,0.04961087
0.2817,0.0259623,0.05365101
0.0972,0.0366661,0.06685871
0.1348,0.0380714,0.06471776
0.1652,0.0343926,0.05953565
0.2796,0.0265869,0.05342338
0.3392,0.0241021,0.05521174
0.2668,0.0214598,0.05079243
0.0366,0.0410792,0.07493863
0.1049,0.0572145,0.09204267
0.2275,0.0657682,0.09864776
0.0434,0.0557319,0.08376915
0.1544,0.0389822,0.06006432
0.2351,0.0334494,0.05662984
0.1011,0.0389451,0.06730604
0.1742,0.0535675,0.08602198
0.0919,0.0592667,0.0917212
0.1952,0.0647359,0.09385876
0.0979,0.0580577,0.0799593
0.1606,0.0423761,0.05144917
0.1309,0.0322082,0.02672873
0.1373,0.0366259,0.03421002
0.7961,0.0499819,0.06095061
0.0345,0.0553975,0.07839166
0.0954,0.0573864,0.08381833
0.0705,0.0520897,0.07961942
1.1524,0.0468049,0.07415844
0.2513,0.0316678,0.05252789
0.2313,0.0282072,0.04841826
0.1323,0.0258078,0.0422103
0.2421,0.0315323,0.05005212
0.1351,0.028473,0.04061711
0.2407,0.033558,0.04945472
0.2384,0.0338515,0.04838984
0.1463,0.0407537,0.06170733
0.1534,0.0391151,0.05928896
1.222,0.0456354,0.07172909
1.0725,0.0467864,0.07187276
0.0566,0.0525106,0.08047221
0.0943,0.0413496,0.06628281
0.2409,0.0269464,0.05030726
0.3311,0.0262804,0.05753585
0.2771,0.0266825,0.05826647
0.2946,0.0240087,0.05560575
0.2387,0.0210194,0.05833087
0.0238,0.0358554,0.07683666
0.1472,0.0308151,0.0667095
0.2795,0.0267682,0.05704849
0.1151,0.021433,0.04559892
0.1063,0.0198487,0.04308804
0.2801,0.0266245,0.05608084
0.0923,0.0354875,0.07081098
0.0379,0.0441788,0.0826654
0.0963,0.0440938,0.08032401
0.1079,0.0364881,0.06818269
0.1326,0.0375773,0.06562802
0.6031,0.0454466,0.07949872
0.0095,0.0470368,0.08111555
0.1071,0.0365605,0.06841387
0.2671,0.0299266,0.05655921
0.1335,0.0255749,0.04519756
0.1336,0.0263584,0.04422848
0.125,0.0251217,0.03812769
0.1402,0.0383598,0.06412069
0.6706,0.0499933,0.07999014
0.0431,0.054067,0.08519933
0.072,0.0512853,0.08123345
0.7814,0.049861,0.07915658
0.0612,0.0524194,0.08436868
0.6935,0.0518254,0.08065222
1.0194,0.0480542,0.07487758
0.2316,0.0363995,0.05743945
0.2463,0.0306028,0.05244459
0.252,0.028353,0.05268338
0.2241,0.0266379,0.04912207
